site,potential_evaporation,skin_temperature,soil_temperature_level_1,evaporation_from_vegetation_transpiration,lat,lon,P,Q,P-Q,Q/P,(P-Q)/P,tree_canopy_cover,impervious
1539000,-1.3193754557705966,2.0012998486407927,1.7937576421150807,-1.853055415408141,41.07814000000001,-76.43106,1.4485460690933218,0.8236830588962026,1.9029918946912268,0.11361145639947624,-0.11361145639947624,0.07223274928822125,0.0035612899859646273
1542810,-1.1711310225379452,1.7937576421150807,2.090246508580383,-1.5565665489428386,41.57895,-78.29251,0.0,-0.17041718459921434,0.11361145639947624,-0.08520859229960717,0.08520859229960717,0.0,0.7974154276155659
1543000,-1.1711310225379452,1.7937576421150807,2.090246508580383,-1.5565665489428386,41.4134,-78.19695,0.08520859229960717,0.7100716024967264,-0.2840286409986906,0.6248630101971192,-0.6248630101971192,0.017465682929580336,0.01140843812221009
1543500,-1.1711310225379452,1.7937576421150807,2.090246508580383,-1.5565665489428386,41.31728,-78.10306,-0.3692372332982977,-0.11361145639947624,0.0,0.1988200486990834,-0.1988200486990834,0.0069228467624213525,0.0070024307907179196
1544500,-1.5269176622963083,1.9123531887012015,2.179193168519974,-1.3193754557705966,41.4759,-77.82582,0.7952801947963336,0.5964601460972502,0.7668773306964645,0.3976400973981668,-0.3976400973981668,0.06653572235797883,0.0
1545600,-1.5269176622963083,1.9123531887012015,2.179193168519974,-1.3193754557705966,41.38951,-77.69082,0.7384744665965954,0.5964601460972502,0.5680572819973811,0.5964601460972502,-0.5964601460972502,0.1961331731966104,0.0
1547700,-1.70481098217549,1.9716509619942624,2.179193168519974,-1.823406528761611,41.05951,-77.60583000000003,0.7668773306964645,-0.3692372332982977,1.4769489331931909,-0.511251553797643,0.511251553797643,0.20890116580316928,0.007769375339934189
1548500,-1.5269176622963083,1.9123531887012015,2.179193168519974,-1.3193754557705966,41.52174,-77.44748,2.2154233997897865,1.1077116998948933,2.8970921381866437,-0.3408343691984287,0.3408343691984287,0.015339166445959826,0.0023880041117895693
1549500,-1.5862154355893692,1.9123531887012015,2.179193168519974,-1.3490243424171269,41.47368,-77.23080999999998,1.3349346126938455,0.1420143204993453,2.8970921381866437,-0.8804887870959407,0.8804887870959407,0.24328902064235353,0.062171822385162896
1550000,-1.4379710023567176,1.942002075347732,2.090246508580383,-1.6158643222358993,41.41841,-77.03275,1.3917403408935838,0.8520859229960717,1.6473661177924053,-0.1420143204993453,0.1420143204993453,0.09279212456437567,0.0022031399650062856
1552000,-1.3490243424171269,1.9716509619942624,1.7937576421150807,-1.823406528761611,41.32508,-76.91246,2.3290348561892618,0.7100716024967264,3.5787608765835017,-0.9372945152956788,0.9372945152956788,0.044988790923811604,0.0005399176782671713
1552500,-1.3193754557705966,2.0012998486407927,1.7937576421150807,-1.853055415408141,41.35702,-76.53466999999998,2.1870205356899173,0.2840286409986906,5.027306945676823,-2.3006319920893934,2.3006319920893934,0.0,0.0
1557500,-1.1414821358914151,1.73445986882202,2.149544281873444,-1.4083221157101873,40.68367,-78.23362,1.1361145639947623,-0.2840286409986906,2.1302148074901788,-0.7952801947963336,0.7952801947963336,0.04976507980137133,2.1769871491646584
1567500,-1.5565665489428386,2.149544281873444,2.4460331483387465,-2.149544281873444,40.37092,-77.40221,1.2213231562943694,0.511251553797643,1.1077116998948933,0.05680572819973812,-0.05680572819973812,0.0,0.0
1568000,-1.5565665489428386,2.149544281873444,2.4460331483387465,-2.149544281873444,40.32342,-77.16887,1.50535179729306,1.022503107595286,1.1645174280946309,0.4544458255979049,-0.4544458255979049,0.6380558368747207,0.008715963012379868
1580000,-0.8449932694261124,1.70481098217549,1.7937576421150807,-1.378673229063657,39.62997,-76.40331,1.81778330239162,1.2213231562943694,1.3633374767937148,0.4544458255979049,-0.4544458255979049,-0.8304408311248817,0.24918924658513963
1583500,-0.8449932694261124,1.70481098217549,1.7937576421150807,-1.378673229063657,39.51078,-76.6765,1.7609775741918814,1.50535179729306,1.3633374767937148,0.8520859229960717,-0.8520859229960717,-1.277979432945745,0.3275877553061499
1586610,-0.8153443827795821,1.7937576421150807,1.853055415408141,-1.2304287958310058,39.45189,-76.95531,0.0,0.6352709202580267,-0.6352709202580267,0.6352709202580267,-0.6352709202580267,0.0,0.05270390120608711
